stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
61,0.5,1.5,69.69649889995344,,69.68255479983054,69.69649889995344,70.19680899986997,70.19680899986997,70.19680899986997,,70.28161079995334,left,-1.5,0,0,0.08064830000512302,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
62,0.5,2.0,70.2966174997855,,70.28185699996538,70.2966174997855,70.79788569989614,70.79788569989614,70.79788569989614,71.09858509991318,71.6643201999832,left,-2.0,1,1,0.8603125000372529,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
63,0.5,2.0,71.67981689982116,,71.66458799992688,71.67981689982116,72.18044559983537,72.18044559983537,72.18044559983537,72.48082119994797,72.69864559988491,right,2.0,1,1,0.5091091000940651,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
64,0.5,2.0,72.71391029981896,,72.69892090000212,72.71391029981896,73.21290579997003,73.21290579997003,73.21290579997003,73.51422579982318,73.81573439994827,left,-2.0,1,1,0.5972502999939024,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
65,0.5,1.5,73.83068030001596,,73.81602539983578,73.83068030001596,74.33023259998299,74.33023259998299,74.33023259998299,74.6318661000114,74.83249109983444,right,1.5,1,1,0.48893660004250705,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
66,0.5,1.5,74.84869459993206,,74.83279049978592,74.84869459993206,75.34822549996898,75.34822549996898,75.36494939983822,75.64703369978815,75.89861229993403,left,-1.5,1,1,0.5355262001976371,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
67,0.5,1.5,75.9136877998244,,75.89890919998288,75.9136877998244,76.41555029992014,76.41555029992014,76.41555029992014,76.71423869999126,78.56491389987059,right,1.5,0,0,2.1458127999212593,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
68,0.5,2.0,78.58123399992473,,78.56520619988441,78.58123399992473,79.0797235998325,79.0797235998325,79.09762739995494,79.3811966998037,79.56544999987818,right,2.0,1,1,0.4822674000170082,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
69,0.5,2.0,79.58040029997937,,79.56573159992695,79.58040029997937,80.06564789987169,80.06564789987169,80.08105459995568,80.37991609983146,80.56461160001345,left,-2.0,1,1,0.48318200022913516,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
70,0.5,2.0,80.5807626999449,,80.56488720001653,80.5807626999449,81.08029129984789,81.08029129984789,81.08029129984789,81.38080379995517,81.6829913998954,right,2.0,1,1,0.5999127000104636,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
71,0.5,1.5,81.69716189987957,,81.68323379987851,81.69716189987957,82.19813309982419,82.19813309982419,82.19813309982419,82.51344509981573,82.56625189981423,left,-1.5,1,1,0.35427859984338284,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
72,0.5,1.5,82.5803515999578,,82.56659439997748,82.5803515999578,83.08049739990383,83.08049739990383,83.08049739990383,83.39629689999856,83.89778089988977,left,-1.5,1,1,0.8153943000361323,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
73,0.5,1.5,83.91300179995596,,83.89802109985612,83.91300179995596,84.39632679987699,84.39632679987699,84.4130963999778,84.69743319996633,84.91456689988263,left,-1.5,1,1,0.5086299001704901,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
